# timestamp [ns], tx [m], ty [m], tz [m], qw, qx, qy, qz
6794494825121,1.14793,0.673078,4.35656e-05,0.692661,-0.720319,-0.0324877,0.0174828
6794528114121,1.1479253608830116,0.6733852851359263,-1.4038773301414118e-05,-0.6927659000348904,0.7202200888067674,0.03240813261917107,-0.017554041362568072
6794561402321,1.147945669226526,0.6736665006697374,-0.00014668731206599335,-0.6928703373227546,0.7201204995430938,0.03234289891873596,-0.017637989839825622
6794594691021,1.1479840082097377,0.6739219518237571,-0.00035520882833042246,-0.6929772671848156,0.7200192265764652,0.032264716916223075,-0.017714642745756303
6794627986421,1.1477178271902866,0.6762262019442165,-0.002912793561457615,-0.6918910009941459,0.7209983154243339,0.03493790763687004,-0.015086898572899488
6794661271121,1.147854697427962,0.6763600759554116,-0.0025944327838271133,-0.688023103899887,0.7247691764351356,0.031202709722264344,-0.018979997246803874
6794694558221,1.147938272626589,0.676117480323469,-0.001748568949932163,-0.6895534281595022,0.7233035892747016,0.03182851219074224,-0.01830118213493294
6794727854021,1.1476086818175009,0.676704491225227,-0.0023147462356186135,-0.6905303444861451,0.7223283615407609,0.03397102721000666,-0.01598595533530996
6794761191021,1.1475165804761314,0.6771263238539431,-0.0027042028924240944,-0.6911322061814923,0.7217485487495121,0.034101673530862714,-0.015886529484780944
6794794425221,1.1476533243998526,0.6776621070501363,-0.002956754720570406,-0.6906382981703402,0.7222334426114784,0.03352726484106585,-0.016538379189806114
6794827714921,1.147791419351206,0.6774729085171601,-0.0023961435875271804,-0.6919291272192211,0.7210136996876364,0.03277095205984761,-0.017302961292361346
6794861004121,1.1479954617313515,0.6772750107544213,-0.0019712493931401697,-0.6931319924789339,0.719859310747872,0.03264041626193129,-0.017470459582673046
6794894292421,1.1480116127232574,0.6778197569548697,-0.001839843777521004,-0.6920704853589996,0.7208745602845519,0.03277795756462507,-0.01743321907750539
6794927582621,1.1479028042421069,0.678090484190445,-0.0016679860006486055,-0.6917915807272197,0.7211380646669405,0.03291075875949508,-0.017354609797643535
6794960870721,1.1477163160614245,0.6782027391350858,-0.0013160421671835007,-0.6923046220007247,0.7206541284727974,0.0326031426479575,-0.017577615339506848
6794994162621,1.1477954131557573,0.6783588087246392,-0.001453137994046913,-0.6929467361614223,0.7200388582594935,0.032406426087696186,-0.017851806290113806
6795027449721,1.1473549740056779,0.6787052708823523,-0.0017442316835018683,-0.6929535624035779,0.7200329764578669,0.03252354316840639,-0.017609437957766226
6795060740821,1.1475730003951532,0.6784372387346718,-0.0006501739071328432,-0.6929414289038152,0.7200478076307919,0.03232297684780934,-0.01784813722843546
6795094026221,1.147607527206059,0.678810163434736,-0.0006480827030058691,-0.6930049948100543,0.7199886761451937,0.03222406076952968,-0.01794417171478721
6795127315921,1.1475795368825312,0.679108123315818,-0.0006648051578874766,-0.6930754052679052,0.7199218465053362,0.032164493854006514,-0.018012852972023246
6795160610621,1.1481203611965773,0.6797863238304153,-0.000742428153843365,-0.6931349040924257,0.7198546471224075,0.03225026485272094,-0.01825409986790524
6795193895421,1.1479613725715208,0.67998707858546,-0.0007468307031745273,-0.6930985292521054,0.7198935420222498,0.03211082019746312,-0.018346992382246526
6795227183921,1.1479708593014397,0.6803614028935981,-0.0007834036108745272,-0.6931598557283368,0.7198336164343194,0.03210829875473038,-0.018385761035032117
6795260478821,1.1478385928577362,0.6805026025690669,-0.0008825567962171671,-0.6933160766211556,0.7196875523554778,0.03197430139913885,-0.018446922054002203
6795293761421,1.1478280242961953,0.6808888950571669,-0.0010744812349319968,-0.6934416185908306,0.7195669145869901,0.03191484970146013,-0.018536974036274363
