#timestamp,p_WS_W_x,p_WS_W_y,p_WS_W_z,q_WS_w,q_WS_x,q_WS_y,q_WS_z,v_WS_W_x,v_WS_W_y,v_WS_W_z,b_g_x,b_g_y,b_g_z,b_a_x,b_a_y,b_a_z
7669855271515,-8.235370558271000547e-16,1.773126903458584252e-17,-2.017013274044822676e-16,7.465337568665455503e-01,-6.651725274878952376e-01,-1.525916035249149164e-02,1.286834252138364595e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000278e-02,8.999999999999999667e-02,1.000000000000000021e-02
7669888561715,2.457810400032678393e-05,-6.069219265660138682e-06,-4.175115257176994973e-07,7.462842549100759948e-01,-6.654506896779727176e-01,-1.533572101628793635e-02,7.836666351798777445e-05,1.475154974344773705e-03,-3.051014110779184550e-04,2.647947065831143240e-05,-3.873856024586819192e-05,-1.993493970749518019e-05,1.348145602204778911e-04,-4.998657825296460439e-02,9.000098746350709833e-02,9.996894813648951258e-03
7669921856015,1.237153948225384501e-04,-3.611294383547044142e-05,8.031842816966811247e-06,7.465852829248634803e-01,-6.650370109376377847e-01,-1.817947621204020481e-02,-2.386639434363695914e-03,8.992840784867882267e-04,-1.139653978493844130e-03,2.833227674745163616e-04,-2.428547695126419509e-04,2.874870011507420524e-04,3.648647538200664895e-04,-4.998678423202772975e-02,9.022180744638888528e-02,9.974029959973497103e-03
7669955139515,1.687388635929842429e-04,-7.875083075844703680e-05,3.518854617189089249e-05,7.462553666394614593e-01,-6.654024548120488491e-01,-1.833890244299258426e-02,-2.487076413951329768e-03,1.436366013416105856e-04,-1.158791769211349075e-03,7.276965034578923531e-04,-1.423667741437347921e-04,4.664454434784452209e-04,3.345468661093664825e-04,-4.999074026005854987e-02,9.025877229602329022e-02,9.966776918318088346e-03
7669988430115,1.683837296296528151e-04,-8.252648692958966916e-05,7.583972805837197611e-05,7.459529461130800509e-01,-6.657271546837716381e-01,-1.879969247493124343e-02,-2.851186544930971786e-03,-1.878370508009476582e-03,-2.531798381943246813e-04,6.629535610679912006e-04,-1.177314876040750925e-04,6.981174111017194499e-04,2.373341764987266461e-04,-4.993524334802562636e-02,8.866401542689598958e-02,1.013893170555835513e-02
7670021726915,1.056972257346210331e-04,-7.761839435357509190e-05,1.034513074537428401e-04,7.459068192872927439e-01,-6.657822359913665444e-01,-1.868674948484210646e-02,-2.799387922588586226e-03,-2.283762042215610726e-03,1.331786088943362283e-04,5.273287219216780128e-04,-3.397148796766756530e-05,7.268905235252256678e-04,1.640447265253840332e-04,-4.991955533042354703e-02,8.761544566019661973e-02,1.025145715454982287e-02
7670055008015,1.578364045877727467e-05,-5.986844490594947718e-06,1.030334675684472584e-04,7.460782332060650335e-01,-6.656082212779494967e-01,-1.809120294636590298e-02,-2.382032593036049160e-03,-2.076916015224028033e-03,-1.811800518658500988e-04,2.343409001519756996e-04,7.476577869220890019e-04,4.264060097063799020e-04,-1.085508409844870961e-04,-4.985864466612744544e-02,8.496800375188282017e-02,1.058679605935496440e-02
7670088298215,-4.139175779526933546e-05,4.808455596532072287e-06,1.496704300680293882e-04,7.459698939855111677e-01,-6.657272610780994304e-01,-1.816826105710949921e-02,-2.458742535968277011e-03,-3.369407917439766562e-03,4.038474732007855603e-04,4.007110586628902932e-04,8.196332854983173202e-04,3.990763551900938615e-04,-1.557241771736824518e-04,-4.983634349741007663e-02,8.395328150695431646e-02,1.068602767579875275e-02
7670121622415,-4.542698156838806796e-05,2.452508208467702735e-06,8.341161308773214393e-05,7.460662253700441893e-01,-6.656380434969745297e-01,-1.751402705862479744e-02,-2.107431565743499678e-03,-1.436382169592149939e-03,2.219995869407394599e-04,-1.607953805563027598e-04,5.836154232834940862e-04,5.516054162158954503e-05,2.737540041971724711e-04,-4.987749944879155822e-02,8.459749861893284262e-02,1.062147881113543503e-02
7670154876515,-8.230139379684144616e-05,-2.366720757277655907e-05,1.928678075388050805e-04,7.460151180250366165e-01,-6.656930297081107284e-01,-1.759604759553267880e-02,-2.147786102690394869e-03,-1.833153890700814879e-03,9.400141095624936017e-05,-4.796979277937892905e-04,6.750284630697092484e-04,-1.668767800034529601e-04,2.084788717645282463e-04,-4.981442462210965844e-02,8.172087046893873608e-02,1.093941038837490179e-02
